id,name,popularity,duration_min,release_year,tempo_category,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),89,3.17,2020,medium,0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,125.971,4
65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),89,3.22,2021,fast,0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,136.006,4
1zLBsSVxETQOfINOLYvT5m,GIRL LIKE ME,89,3.71,2020,medium,0.965,0.485,2,-8.784,1,0.191,0.0206,0.0237,0.0655,0.312,124.025,4
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,89,2.72,2020,medium,0.767,0.659,1,-7.429,1,0.0444,0.325,0.0,0.13,0.439,124.946,4
4xqrdfXkTW4T0RauPLv3WA,Heather,89,3.3,2020,medium,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3
0u2P5u6lvoDfwTYjAADbn4,lovely (with Khalid),89,3.34,2018,medium,0.351,0.296,4,-10.109,0,0.0333,0.934,0.0,0.095,0.12,115.284,4
7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),89,2.89,2020,fast,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4
1Xi84slp6FryDSCbzq4UCD,Arcade,89,3.06,2019,slow,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,3
6zFMeegAMYQo0mt8rXtrli,HOLIDAY,89,2.58,2020,fast,0.81,0.511,5,-6.924,0,0.164,0.12,0.0,0.0832,0.837,151.947,4
2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,89,2.35,2021,fast,0.606,0.908,6,-6.201,0,0.0565,0.556,0.0,0.19,0.798,171.966,4
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby),89,3.38,2020,medium,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,4
5vGLcdRuSbUhD8ScwsGSdA,Whoopty,89,2.05,2020,fast,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,4
21jGcNKet2qwijlDFuPiPb,Circles,89,3.59,2019,medium,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4
1nahzW3kfMuwReTka28tH5,Hold On,88,2.85,2021,fast,0.658,0.634,1,-6.068,0,0.0431,0.0104,0.0,0.12,0.302,140.002,4
0E4Y1XIbs8GrAT1YqVy6dq,Afterglow,88,3.09,2020,medium,0.641,0.324,11,-5.851,1,0.0299,0.698,0.0,0.328,0.273,110.184,4
24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,88,2.95,2019,medium,0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
3jjujdWJ72nww5eGnfs2E7,Adore You,88,3.45,2019,medium,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4
5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,88,2.17,2020,medium,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,92.025,4
35UUpTmrcFXNIVIN26ujXl,Relación - Remix,88,4.12,2020,fast,0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,4
2mM3gZ0BbPwPPMelbA8vgt,No Te Enamores - Remix,88,4.83,2020,medium,0.824,0.837,5,-4.603,1,0.107,0.573,1.66e-05,0.271,0.58,100.021,4
0nbXyq5TXYPCO7pr3N8S4I,The Box,88,3.28,2019,medium,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,4
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),88,4.36,2020,fast,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,4
6gBFPUFcJLzWGx4lenP6h2,goosebumps,88,4.06,2016,fast,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,88,4.0,2018,slow,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,4
0pqnGHJpmpxLKifKRmU6WP,Believer,88,3.41,2017,medium,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,4
2b8fOow8UzyDFAE27YhOZM,Memories,88,3.16,2019,medium,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,4
3H7ihDc1dqLriiWXwsc2po,Breaking Me,88,2.78,2019,medium,0.789,0.72,8,-5.652,0,0.218,0.223,0.0,0.129,0.664,122.031,4
2Fxmhks0bxGSBdJ92vM42m,bad guy,88,3.23,2019,fast,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
2XU0oxnq2qxCpomAAuJY8K,Dance Monkey,88,3.49,2019,medium,0.824,0.588,6,-6.4,0,0.0924,0.692,0.000104,0.149,0.513,98.027,4
3UHPGOkUcE4hE7sqBF4Snt,Film out,88,3.58,2021,fast,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,4
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina,88,2.21,2020,medium,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,4
5FVd6KXrgO9B3JPmC8OPst,Do I Wanna Know?,87,4.54,2013,slow,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
7FdUvDkaE24o3FPIWTvzv2,Follow You,87,2.93,2021,medium,0.542,0.732,9,-5.956,1,0.0521,0.00209,7.92e-05,0.496,0.489,124.912,4
55Am8neGJkdj2ADaM3aw5H,Train Wreck,87,3.48,2016,slow,0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,4
6ocbgoVGwYJhOv1GgI9NsF,7 rings,87,2.98,2019,fast,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,4
